
> daguanyuan-rumeng@1.0.0 models:views
> node scripts/pipeline.mjs model-views

Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1638.50M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_stone.001
Fra:1 Mem:1638.50M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_darkwood.001
Fra:1 Mem:1638.50M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_floorwood
Fra:1 Mem:1638.50M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_latticewood.001
Fra:1 Mem:1640.13M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_screen
Fra:1 Mem:1640.31M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_roof.001
Fra:1 Mem:1640.32M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_tilelight.001
Fra:1 Mem:1640.38M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_tile.001
Fra:1 Mem:1641.28M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_tiledark.001
Fra:1 Mem:1642.50M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_limestone.001
Fra:1 Mem:1645.55M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daguanyuan_gate_paving.001
Fra:1 Mem:1645.62M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_daguanyuan_gate_enclosure_wall
Fra:1 Mem:1646.04M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_daguanyuan_gate_enclosure_paper
Fra:1 Mem:1646.22M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_daguanyuan_gate_enclosure_lacquer
Fra:1 Mem:1646.52M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_daguanyuan_gate_enclosure_ceiling
Fra:1 Mem:1646.77M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_daguanyuan_gate_enclosure_blue
Fra:1 Mem:1647.31M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | r15_daguanyuan_gate_enclosure_gold
Fra:1 Mem:1647.45M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qujingtongyou_gardenstone
Fra:1 Mem:1647.41M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qujingtongyou_limestone.001
Fra:1 Mem:1647.99M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qujingtongyou_bark
Fra:1 Mem:1648.30M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qujingtongyou_canopy_shadow
Fra:1 Mem:1648.92M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qujingtongyou_canopy
Fra:1 Mem:1649.26M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qujingtongyou_canopy_light
Fra:1 Mem:1649.34M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_plaster
Fra:1 Mem:1649.37M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_stone
Fra:1 Mem:1650.80M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_tile
Fra:1 Mem:1651.71M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_cutstone
Fra:1 Mem:1653.18M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_darkwood
Fra:1 Mem:1653.40M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_floorwood
Fra:1 Mem:1654.80M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_wood
Fra:1 Mem:1658.84M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_latticewood.001
Fra:1 Mem:1660.05M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_tilelight.001
Fra:1 Mem:1660.52M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_tiledark.001
Fra:1 Mem:1661.04M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_paving.001
Fra:1 Mem:1661.23M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_bookcloth.001
Fra:1 Mem:1661.21M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_water.001
Fra:1 Mem:1661.29M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_bankstone
Fra:1 Mem:1661.57M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_furniture
Fra:1 Mem:1661.59M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_paper
Fra:1 Mem:1662.91M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_ivory.001
Fra:1 Mem:1662.91M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_ink.001
Fra:1 Mem:1662.95M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_bookcover.001
Fra:1 Mem:1662.93M (Peak 1902.00M) | Time:00:01.47 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_ceramic.001
Fra:1 Mem:1663.14M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_gold
Fra:1 Mem:1663.12M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_silk
Fra:1 Mem:1663.12M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_lantern
Fra:1 Mem:1663.30M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_bark
Fra:1 Mem:1663.40M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_botanical_petal
Fra:1 Mem:1663.43M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_botanical_bamboo
Fra:1 Mem:1663.45M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_botanical_stem
Fra:1 Mem:1671.65M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_botanical_banana
Fra:1 Mem:1681.00M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_bamboo
Fra:1 Mem:1680.93M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_leaf
Fra:1 Mem:1680.74M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_leafdark
Fra:1 Mem:1685.77M (Peak 1902.00M) | Time:00:01.48 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_focal_botanical_litter
